序号	频率准确度	测试时间			
105	-4.45E-11	2013-12-14 8:53	0	19999999400	9
106	-4.69E-11	2013-12-14 8:53	0	19999998325	3b
107	-4.96E-11	2013-12-14 8:53	0	19999999275	7a
108	-4.15E-11	2013-12-14 8:53	0	19999999275	7a
109	-4.60E-11	2013-12-14 8:54	0	19999999800	5
110	-4.53E-11	2013-12-14 8:54	0	19999999000	0d
111	-4.40E-11	2013-12-14 8:54	0	19999999550	58
112	-5.05E-11	2013-12-14 8:54	0	19999999150	5c
113	-4.66E-11	2013-12-14 8:54	0	19999999175	79
114	-5.03E-11	2013-12-14 8:54	0	19999998600	1b
115	-4.91E-11	2013-12-14 8:55	0	19999999125	29
116	-5.36E-11	2013-12-14 8:55	0	19999997850	ffffffb5
117	-4.98E-11	2013-12-14 8:55	0	19999999175	79
118	-5.40E-11	2013-12-14 8:55	0	19999998800	15
119	-4.81E-11	2013-12-14 8:55	0	19999999225	2a
120	-5.30E-11	2013-12-14 8:55	0	19999999100	0c
121	-4.89E-11	2013-12-14 8:56	0	19999998625	3e
122	-5.16E-11	2013-12-14 8:56	0	19999999300	0e
123	-5.10E-11	2013-12-14 8:56	0	19999999525	2d
124	-4.80E-11	2013-12-14 8:56	0	19999998575	6d
125	-5.05E-11	2013-12-14 8:56	0	19999999475	7c
126	-5.16E-11	2013-12-14 8:56	0	19999999500	8
127	-5.35E-11	2013-12-14 8:57	0	19999998575	6d
128	-5.19E-11	2013-12-14 8:57	0	19999998600	1b
129	-5.54E-11	2013-12-14 8:57	0	19999999475	7c
130	-4.98E-11	2013-12-14 8:57	0	19999999500	8
131	-5.25E-11	2013-12-14 8:57	0	19999998800	15
132	-5.43E-11	2013-12-14 8:57	0	19999999350	5e
133	-5.36E-11	2013-12-14 8:58	0	19999999675	7e
134	-4.90E-11	2013-12-14 8:58	0	19999999525	2d
135	-5.38E-11	2013-12-14 8:58	0	19999998300	1e
136	-5.00E-11	2013-12-14 8:58	0	19999998925	31
137	-4.45E-11	2013-12-14 8:58	0	19999999375	7b
138	-4.38E-11	2013-12-14 8:58	0	19999999400	9
139	-3.60E-11	2013-12-14 8:59	0	19999998275	6a
140	-3.86E-11	2013-12-14 8:59	0	19999998750	4a
141	-3.23E-11	2013-12-14 8:59	0	19999999175	79
142	-3.01E-11	2013-12-14 8:59	0	19999999300	0e
143	-2.93E-11	2013-12-14 8:59	0	19999999375	7b
144	-2.20E-11	2013-12-14 8:59	0	19999999000	0d
145	-1.71E-11	2013-12-14 9:00	0	19999999100	0c
146	-1.39E-11	2013-12-14 9:00	0	19999998825	30
147	-1.59E-11	2013-12-14 9:00	0	19999998675	6e
148	-6.88E-12	2013-12-14 9:00	0	19999998775	6f
149	1.88E-12	2013-12-14 9:00	0	19999999425	2c
150	-3.00E-12	2013-12-14 9:00	0	19999999425	2c
151	5.00E-14	2013-12-14 9:01	0	19999998525	3d
152	3.75E-13	2013-12-14 9:01	0	19999999450	59
153	2.38E-12	2013-12-14 9:01	0	19999999675	7e
154	1.25E-13	2013-12-14 9:01	0	19999998700	1a
155	5.00E-12	2013-12-14 9:01	0	19999999175	79
156	8.13E-12	2013-12-14 9:01	0	20000000050	57
157	8.75E-12	2013-12-14 9:02	0	19999999600	0b
158	7.38E-12	2013-12-14 9:02	0	19999999200	0f
159	6.25E-12	2013-12-14 9:02	0	19999999400	9
160	7.38E-12	2013-12-14 9:02	0	19999999325	2b
161	1.04E-11	2013-12-14 9:02	0	19999999875	70
162	7.00E-12	2013-12-14 9:02	0	19999998775	6f
163	1.25E-11	2013-12-14 9:03	0	19999999075	78
164	6.88E-12	2013-12-14 9:03	0	19999999475	7c
165	1.05E-11	2013-12-14 9:03	0	19999999325	2b
166	1.20E-11	2013-12-14 9:03	0	19999999525	2d
167	1.30E-11	2013-12-14 9:03	0	19999998425	3c
168	5.00E-12	2013-12-14 9:03	0	19999998075	68
169	1.03E-11	2013-12-14 9:04	0	19999999225	2a
170	8.25E-12	2013-12-14 9:04	0	19999998525	3d
171	8.25E-12	2013-12-14 9:04	0	19999999250	5f
172	5.50E-12	2013-12-14 9:04	0	19999999150	5c
173	7.50E-12	2013-12-14 9:04	0	19999999400	9
174	8.50E-12	2013-12-14 9:04	0	19999998550	48
175	7.13E-12	2013-12-14 9:05	0	19999998525	3d
176	6.50E-12	2013-12-14 9:05	0	19999999400	9
177	1.04E-11	2013-12-14 9:05	0	19999998975	61
178	9.00E-12	2013-12-14 9:05	0	19999999150	5c
179	9.38E-12	2013-12-14 9:05	0	19999999575	7d
180	7.38E-12	2013-12-14 9:05	0	19999999200	0f
181	8.50E-12	2013-12-14 9:06	0	19999999350	5e
182	1.10E-11	2013-12-14 9:06	0	19999998875	60
183	8.38E-12	2013-12-14 9:06	0	19999998600	1b
184	6.38E-12	2013-12-14 9:06	0	20000000050	57
185	3.63E-12	2013-12-14 9:06	0	19999999425	2c
186	7.13E-12	2013-12-14 9:06	0	19999999000	0d
187	1.55E-11	2013-12-14 9:07	0	19999999925	21
188	9.25E-12	2013-12-14 9:07	0	19999999100	0c
189	1.18E-11	2013-12-14 9:07	0	19999998550	48
190	7.13E-12	2013-12-14 9:07	0	19999998425	3c
191	6.38E-12	2013-12-14 9:07	0	19999998900	14
192	7.38E-12	2013-12-14 9:07	0	19999999350	5e
193	7.63E-12	2013-12-14 9:08	0	19999999000	0d
194	1.01E-11	2013-12-14 9:08	0	19999998625	3e
195	9.50E-12	2013-12-14 9:08	0	20000000000	7
196	1.08E-11	2013-12-14 9:08	0	19999999100	0c
197	1.01E-11	2013-12-14 9:08	0	19999999100	0c
198	9.38E-12	2013-12-14 9:08	0	19999999300	0e
199	7.13E-12	2013-12-14 9:09	0	19999999500	8
200	9.13E-12	2013-12-14 9:09	0	19999999775	7f
201	9.38E-12	2013-12-14 9:09	0	19999998525	3d
202	1.43E-11	2013-12-14 9:09	0	19999998550	48
203	1.21E-11	2013-12-14 9:09	0	19999999325	2b
204	9.38E-12	2013-12-14 9:09	0	19999999325	2b
205	9.50E-12	2013-12-14 9:10	0	19999999575	7d
206	1.38E-11	2013-12-14 9:10	0	20000000200	5
207	9.50E-12	2013-12-14 9:10	0	19999999025	28
208	5.88E-12	2013-12-14 9:10	0	19999998725	3f
209	9.75E-12	2013-12-14 9:10	0	19999998575	6d
210	7.25E-12	2013-12-14 9:10	0	19999998350	4e
211	1.55E-11	2013-12-14 9:11	0	19999998500	18
212	3.88E-12	2013-12-14 9:11	0	19999998900	14
213	5.50E-12	2013-12-14 9:11	0	19999999950	54
214	1.25E-11	2013-12-14 9:11	0	19999999275	7a
215	7.50E-12	2013-12-14 9:11	0	19999999100	0c
216	8.63E-12	2013-12-14 9:11	0	19999998650	4b
217	9.75E-12	2013-12-14 9:12	0	19999999025	28
218	6.75E-12	2013-12-14 9:12	0	19999999125	29
219	9.50E-12	2013-12-14 9:12	0	19999999500	8
220	1.20E-11	2013-12-14 9:12	0	19999998525	3d
221	1.15E-11	2013-12-14 9:12	0	19999999125	29
222	7.88E-12	2013-12-14 9:12	0	19999999375	7b
223	8.50E-12	2013-12-14 9:13	0	19999999300	0e
224	8.38E-12	2013-12-14 9:13	0	19999999250	5f
225	8.13E-12	2013-12-14 9:13	0	19999998900	14
226	8.13E-12	2013-12-14 9:13	0	19999998750	4a
227	8.88E-12	2013-12-14 9:13	0	19999998150	4c
228	6.88E-12	2013-12-14 9:13	0	19999999525	2d
229	8.50E-12	2013-12-14 9:14	0	19999999150	5c
230	8.38E-12	2013-12-14 9:14	0	19999998825	30
231	7.13E-12	2013-12-14 9:14	0	19999998400	19
232	9.13E-12	2013-12-14 9:14	0	19999999625	2e
233	7.00E-12	2013-12-14 9:14	0	19999999125	29
234	7.88E-12	2013-12-14 9:14	0	19999999550	58
235	9.38E-12	2013-12-14 9:15	0	19999999125	29
236	9.38E-12	2013-12-14 9:15	0	19999999100	0c
237	7.88E-12	2013-12-14 9:15	0	19999999450	59
238	5.13E-12	2013-12-14 9:15	0	19999999225	2a
239	6.25E-12	2013-12-14 9:15	0	19999999525	2d
240	6.13E-12	2013-12-14 9:15	0	19999998375	6b
241	8.50E-12	2013-12-14 9:16	0	19999998800	15
242	1.45E-11	2013-12-14 9:16	0	19999999500	8
243	7.75E-12	2013-12-14 9:16	0	19999998800	15
244	1.20E-11	2013-12-14 9:16	0	19999999275	7a
245	9.13E-12	2013-12-14 9:16	0	19999999300	0e
246	6.88E-12	2013-12-14 9:16	0	19999998925	31
247	7.38E-12	2013-12-14 9:17	0	19999999425	2c
248	9.38E-12	2013-12-14 9:17	0	19999998900	14
249	6.00E-12	2013-12-14 9:17	0	19999998750	4a
250	7.50E-12	2013-12-14 9:17	0	19999999525	2d
251	6.75E-12	2013-12-14 9:17	0	19999998850	45
252	6.25E-12	2013-12-14 9:17	0	20000000250	55
253	7.00E-12	2013-12-14 9:18	0	19999999400	9
254	7.25E-12	2013-12-14 9:18	0	19999998175	69
255	8.50E-12	2013-12-14 9:18	0	19999999275	7a
256	9.50E-12	2013-12-14 9:18	0	19999998025	38
257	6.50E-12	2013-12-14 9:18	0	19999999075	78
258	7.00E-12	2013-12-14 9:18	0	19999999200	0f
259	3.38E-12	2013-12-14 9:19	0	19999999125	29
260	8.25E-12	2013-12-14 9:19	0	19999998900	14
261	5.13E-12	2013-12-14 9:19	0	19999998800	15
262	1.10E-11	2013-12-14 9:19	0	19999999475	7c
263	9.13E-12	2013-12-14 9:19	0	19999999825	20
264	4.88E-12	2013-12-14 9:19	0	20000000150	56
265	6.25E-12	2013-12-14 9:20	0	19999999750	5a
266	9.38E-12	2013-12-14 9:20	0	19999999450	59
267	1.09E-11	2013-12-14 9:20	0	19999999200	0f
268	9.50E-12	2013-12-14 9:20	0	19999999325	2b
269	4.63E-12	2013-12-14 9:20	0	19999998975	61
270	1.00E-11	2013-12-14 9:20	0	19999999000	0d
271	1.03E-11	2013-12-14 9:21	0	19999999400	9
272	6.25E-12	2013-12-14 9:21	0	19999998800	15
273	6.00E-12	2013-12-14 9:21	0	19999998850	45
274	3.38E-12	2013-12-14 9:21	0	19999998950	44
275	1.06E-11	2013-12-14 9:21	0	19999998700	1a
276	6.13E-12	2013-12-14 9:21	0	19999999000	0d
277	3.00E-12	2013-12-14 9:22	0	19999998925	31
278	3.88E-12	2013-12-14 9:22	0	19999998500	18
279	1.24E-11	2013-12-14 9:22	0	19999999275	7a
280	5.63E-12	2013-12-14 9:22	0	19999998600	1b
281	3.63E-12	2013-12-14 9:22	0	19999998525	3d
282	7.00E-12	2013-12-14 9:22	0	19999999300	0e
283	6.88E-12	2013-12-14 9:23	0	19999999625	2e
284	4.25E-12	2013-12-14 9:23	0	19999999175	79
285	5.25E-12	2013-12-14 9:23	0	19999998650	4b
286	6.88E-12	2013-12-14 9:23	0	19999999750	5a
287	5.25E-12	2013-12-14 9:23	0	19999999350	5e
288	8.63E-12	2013-12-14 9:23	0	19999998575	6d
289	4.38E-12	2013-12-14 9:24	0	19999999150	5c
290	5.13E-12	2013-12-14 9:24	0	19999998900	14
291	2.00E-12	2013-12-14 9:24	0	19999999225	2a
292	4.50E-12	2013-12-14 9:24	0	19999999250	5f
293	8.00E-12	2013-12-14 9:24	0	19999999000	0d
294	8.88E-12	2013-12-14 9:24	0	19999999425	2c
295	4.88E-12	2013-12-14 9:25	0	19999999150	5c
296	5.13E-12	2013-12-14 9:25	0	19999999075	78
297	7.63E-12	2013-12-14 9:25	0	19999999350	5e
298	2.88E-12	2013-12-14 9:25	0	19999999675	7e
